entropy,label,error
4.5951204,9.481486320495605,5.69281792640686
6.1903152,9.057496070861816,5.368851184844971
6.1903152,9.021819114685059,5.333174228668213
5.5606813,2.939415454864502,5.321139812469482
5.5606813,2.9448893070220947,5.31566596031189
4.5951204,9.086186408996582,5.297518014907837
4.5951204,9.0,5.211331605911255
4.5951204,8.886056900024414,5.097388505935669
5.5606823,3.367947816848755,4.86797308921814
5.5606823,3.4067137241363525,4.829207181930542
5.5606823,3.4792544841766357,4.817727327346802
5.5606823,3.533280372619629,4.763701438903809
5.5606813,3.9017021656036377,4.369100332260132
5.5759497,2.4814860820770264,4.3183252811431885
6.1903152,7.995678424835205,4.307033538818359
5.5606813,4.007445812225342,4.263356685638428
6.1862087,7.995678424835205,4.246598243713379
5.4467373,3.2006592750549316,4.24116325378418
6.238325,9.996539115905762,4.221263408660889
6.238326,7.954677104949951,4.173529624938965
5.5606823,4.217526435852051,3.976520538330078
5.5606823,4.238071441650391,3.9559755325317383
5.3230095,8.508638381958008,3.9120936393737793
6.238325,9.698969841003418,3.88741397857666
6.238326,9.431797981262207,3.8598055839538574
5.4071717,8.522878646850586,3.8355274200439453
6.238326,9.795880317687988,3.8246493339538574
6.238324,9.886056900024414,3.7928805351257324
5.407172,7.931814193725586,3.7527689933776855
5.7525725,8.136676788330078,3.7416510581970215
6.040254,9.815308570861816,3.72623872756958
4.997213,3.823908567428589,3.7116711139678955
5.703781,7.767004013061523,3.7098302841186523
6.144186,4.1999993324279785,3.6901464462280273
5.407172,7.863279342651367,3.684234142303467
6.238326,2.397939920425415,3.676795244216919
5.703781,7.718966484069824,3.661792755126953
5.407172,8.136676788330078,3.6601786613464355
6.238325,9.455931663513184,3.644375801086426
6.1180973,3.0,3.6077351570129395
6.190316,9.075203895568848,3.603269100189209
6.089044,2.4685211181640625,3.5982961654663086
6.238326,9.130767822265625,3.5587754249572754
6.190316,9.003926277160645,3.5126256942749023
6.190316,8.96778392791748,3.4764833450317383
6.238326,2.602060079574585,3.472675085067749
6.238325,2.0,3.4597363471984863
6.238326,9.031517028808594,3.459524631500244
6.120298,3.0,3.446338176727295
