model,split,rmse,pearson_r,scaffold_rmse,delta,time_s
rf_ecfp4_aac,random,0.845953601689063,0.8185479149634461,1.0065,-0.16054639831093698,71.25642514228821
xgb_ecfp4_aac,random,0.84832364320755,0.8171958182031029,1.0523,-0.20397635679244996,16.449373245239258
