model,n,rmse,rmse_ci_low,rmse_ci_high,r_ci_low,r_ci_high
ridge_chemberta_600_esm2_35M_480,4715,1.3880255,1.35900516808033,1.421149417757988,0.5312445045535822,0.5758557787664744
cnn_smiles_onehot_esm2_35M_480,4715,1.3892889,1.3579891711473464,1.422654727101326,0.4712283865566209,0.5218941237638139
ridge_rdkit_aac__seed123,4925,1.3903651,1.3622607290744781,1.418049967288971,0.334689050277245,0.3917212446259703
ridge_chemberta_600_esm2_150M,4715,1.3948289,1.360504111647606,1.428639867901802,0.5311047157511876,0.5774812696639512
ridge_chemberta_600_kmer3_8000,4715,1.395325,1.3602074474096297,1.4298081398010254,0.5371373946666608,0.5832236164400456
ridge_chemberta_100M_esm2_150M,4715,1.413782,1.382987642288208,1.4463193714618683,0.5057771607397952,0.5523423621476458
ridge_chemberta_100M_esm2_35M_480,4715,1.4186859,1.3895213067531587,1.4487669795751572,0.4934529584688777,0.5413888573096829
ridge_chemberta_600_esm2_650M,4715,1.4205989,1.381167608499527,1.4617962777614593,0.531029527893355,0.5795235384425955
ridge_chemberta_100M_esm2_8M_320,4715,1.4216911,1.391785392165184,1.450343069434166,0.4767626661257615,0.5261291974306359
ridge_ecfp4_dipeptide,4715,1.4226744,1.393409678339958,1.4518903583288192,0.49873285219550306,0.547969806853778
mlp_smiles_char_protein_char,4715,1.4271877,1.3944253832101823,1.4566474646329879,0.4414718806557527,0.4944005344939812
ridge_chemberta_600_esm2_8M_320,4715,1.4335564,1.4011921048164369,1.4661902368068696,0.49602821640173544,0.5430886788773581
ridge_chemberta_100M_prot_electra_256,4715,1.444838,1.4013787150382995,1.4906786382198334,0.4865873598876915,0.5413111926348034
ridge_chemberta_600_prot_electra_256,4715,1.4497324,1.3981594353914262,1.4962423652410508,0.5040681027440164,0.5570949052104827
ridge_chemberta_100M_esmc_300M,4715,1.450879,1.411838459968567,1.4899194806814193,0.4824078913500162,0.5356198597821709
ridge_chemberta_600_protein_char,4715,1.4536432,1.4213891625404358,1.4908243030309678,0.44868389004523873,0.4984798896926286
ridge_ecfp6_1024_prot_electra_256,4715,1.4669124,1.4290943384170531,1.5033748239278792,0.4748692771127814,0.5273429892723971
ridge_ecfp4_aac__cold_drug,4939,1.4676943,1.4341811895370484,1.4997549384832383,0.4088279136958721,0.46195850134564287
ridge_chemberta_100M_esm2_650M,4715,1.4699444,1.4290394484996796,1.5154359400272368,0.4914867087823572,0.5437331275637175
mlp_shallow_ecfp4_aac__seed456,4837,1.4882272,1.4563203483819962,1.5196438789367677,0.42456217652632494,0.4755361174693331
ridge_ecfp6_1024_kmer3_8000,4715,1.4886032,1.4532697021961212,1.5221413165330886,0.46817434274707775,0.5188092350577419
bica_v2_chemberta77M_tokens__leakypdb,4838,1.4943863,1.463778731226921,1.5261944115161896,0.5210707171679103,0.5621253056229716
ridge_ecfp4_aac__seed456,4837,1.5050647,1.4759176343679428,1.5362456917762757,0.3881083359667137,0.4391146447022793
mlp_shallow_ecfp4_aac__seed123,4925,1.5131261,1.4847422242164612,1.5453656256198882,0.4272043896140043,0.4741424104939419
xgb_ecfp4_aac__leakypdb,4838,1.5198786,1.4889071881771088,1.5536617279052733,0.4882043694984542,0.5309700994814002
gli_mol_aac,4938,1.5201145,1.4902006417512894,1.5501606702804565,0.4800148138651493,0.5243177419050449
lgbm_ecfp4_aac__leakypdb,4838,1.524701,1.495006251335144,1.557216891646385,0.4872719355240308,0.529989159370576
transformer_seq_smiles_bpe1000_protein_bpe1000,4715,1.525366,1.489077776670456,1.5596216559410094,0.48661242627811707,0.5332246326756122
xgb_chemberta_esm2_8M__leakypdb,4838,1.5286881,1.4992222130298614,1.5628273755311965,0.48654127197600977,0.528940146123838
xgb_ecfp4_esm2_8M__leakypdb,4838,1.5420794,1.510139709711075,1.572403484582901,0.4723647910751491,0.5163928493724488
xgb_chemberta_aac__leakypdb,4838,1.5487831,1.5152646034955979,1.5834338575601579,0.47442226658210296,0.5198185750400659
ridge_ecfp4_aac,4715,1.5498075,1.5195431649684905,1.5808727115392684,0.4088273635092982,0.45926500101572953
mlp_chemberta_esm2_8M__leakypdb,4838,1.5562634,1.5247791320085526,1.5870952934026719,0.48122973585440976,0.5257846967055435
rf_ecfp4_aac__leakypdb,4838,1.5584837,1.5284108430147172,1.5920992076396943,0.46634751982413686,0.5096478893516658
ridge_ecfp6_1024_protein_char,4715,1.5607556,1.5293357610702514,1.5926808953285216,0.3827452207487253,0.4339804806313453
gli_mol_prot_electra,4938,1.5695226,1.5396875232458114,1.6000666797161103,0.4190761259488423,0.46819910449629887
