model,split_type,seed,size_label,n_train,test_rmse,test_pearson,train_time_s
XGBoost_ECFP4+AAC,scaffold,42,1000,1000,1.4095177724041887,0.5910387635231018,1.5
RF_ECFP4+AAC,scaffold,42,1000,1000,1.4256107824845936,0.5825373844138653,1.7
XGBoost_ECFP4+AAC,scaffold,42,2000,2000,1.3038998813370766,0.6665605306625366,2.0
RF_ECFP4+AAC,scaffold,42,2000,2000,1.3380511081722266,0.6491324848702107,3.4
XGBoost_ECFP4+AAC,scaffold,42,5000,5000,1.212265762827657,0.7224401235580444,2.7
RF_ECFP4+AAC,scaffold,42,5000,5000,1.2816400708923286,0.6819978846701867,9.2
XGBoost_ECFP4+AAC,scaffold,42,10000,10000,1.1419380677527506,0.7584256529808044,3.5
RF_ECFP4+AAC,scaffold,42,10000,10000,1.2082777766388135,0.7260542454493011,21.5
XGBoost_ECFP4+AAC,scaffold,42,20000,20000,1.0755187889738567,0.7897488474845886,5.1
RF_ECFP4+AAC,scaffold,42,20000,20000,1.144963529274912,0.7598995751768057,53.0
XGBoost_ECFP4+AAC,scaffold,42,full,37196,1.0406393262088947,0.804995059967041,7.9
RF_ECFP4+AAC,scaffold,42,full,37196,1.1101320760111877,0.7751783912020231,119.7
XGBoost_ECFP4+AAC,scaffold,123,100,100,1.5883065555205935,0.41041475534439087,0.5
RF_ECFP4+AAC,scaffold,123,100,100,1.5660587647685782,0.4129139474781641,0.5
XGBoost_ECFP4+AAC,scaffold,123,200,200,1.5062529251260173,0.4875783324241638,0.8
RF_ECFP4+AAC,scaffold,123,200,200,1.5102330473888212,0.4866587612145966,0.6
XGBoost_ECFP4+AAC,scaffold,123,500,500,1.4223148378293555,0.5612508058547974,1.2
RF_ECFP4+AAC,scaffold,123,500,500,1.4176207033764168,0.5808999962458011,0.9
XGBoost_ECFP4+AAC,scaffold,123,1000,1000,1.328154933816507,0.6347556114196777,1.5
RF_ECFP4+AAC,scaffold,123,1000,1000,1.338192760189119,0.6323812692424962,1.7
XGBoost_ECFP4+AAC,scaffold,123,2000,2000,1.2692900443185318,0.6744098663330078,2.1
RF_ECFP4+AAC,scaffold,123,2000,2000,1.2903717207135528,0.6650376367792981,3.3
XGBoost_ECFP4+AAC,scaffold,123,5000,5000,1.186387092699923,0.723263144493103,2.8
RF_ECFP4+AAC,scaffold,123,5000,5000,1.2051180263392045,0.716706166434375,9.5
XGBoost_ECFP4+AAC,scaffold,123,10000,10000,1.1016276996336642,0.7680140733718872,3.5
RF_ECFP4+AAC,scaffold,123,10000,10000,1.1557376486498445,0.7422961437277557,21.2
XGBoost_ECFP4+AAC,scaffold,123,20000,20000,1.0550629689195403,0.7902352213859558,4.9
RF_ECFP4+AAC,scaffold,123,20000,20000,1.1277331678055198,0.7560538083703701,52.8
XGBoost_ECFP4+AAC,scaffold,123,full,37145,1.0190902867136258,0.8060607314109802,7.8
RF_ECFP4+AAC,scaffold,123,full,37145,1.0661141088880222,0.7853371901662094,117.3
XGBoost_ECFP4+AAC,scaffold,456,100,100,1.5854298197150125,0.30052581429481506,0.6
RF_ECFP4+AAC,scaffold,456,100,100,1.5407744951677311,0.30249270679363227,0.6
XGBoost_ECFP4+AAC,scaffold,456,200,200,1.477217675230302,0.4389062821865082,0.8
RF_ECFP4+AAC,scaffold,456,200,200,1.4503549346225988,0.43935029497963973,0.6
XGBoost_ECFP4+AAC,scaffold,456,500,500,1.3655439688868076,0.5277233123779297,1.2
RF_ECFP4+AAC,scaffold,456,500,500,1.3551134918807703,0.533703325862075,0.9
XGBoost_ECFP4+AAC,scaffold,456,1000,1000,1.3178560779757744,0.5693978071212769,1.5
RF_ECFP4+AAC,scaffold,456,1000,1000,1.3356185311783737,0.5549891700794382,1.7
XGBoost_ECFP4+AAC,scaffold,456,2000,2000,1.2257213259382669,0.64597088098526,2.0
RF_ECFP4+AAC,scaffold,456,2000,2000,1.2355002134931494,0.6364487994490494,3.4
XGBoost_ECFP4+AAC,scaffold,456,5000,5000,1.158759358274659,0.6908286809921265,2.7
RF_ECFP4+AAC,scaffold,456,5000,5000,1.18163539014771,0.6736383247961604,9.2
XGBoost_ECFP4+AAC,scaffold,456,10000,10000,1.112775453477365,0.7186297178268433,3.6
RF_ECFP4+AAC,scaffold,456,10000,10000,1.1436157837440029,0.6990559687020987,20.9
XGBoost_ECFP4+AAC,scaffold,456,20000,20000,1.0761723734721225,0.740031361579895,4.8
RF_ECFP4+AAC,scaffold,456,20000,20000,1.1095221934975925,0.7201345508146442,53.2
XGBoost_ECFP4+AAC,scaffold,456,full,37033,1.0454933386416692,0.7569704651832581,7.8
RF_ECFP4+AAC,scaffold,456,full,37033,1.091262253799686,0.7308505848396505,120.6
