dataset,split,model,rmse,pearson
OLD_BALM,random,RF_500t,0.8573984048170339,0.8135557488598337
OLD_BALM,random,XGB,0.9178131075275174,0.7858599117580323
OLD_BALM,random,LGBM,0.9111380115814539,0.788063118203554
OLD_BALM,random,MLP,1.0555303422171325,0.7018632739888262
OLD_BALM,scaffold,RF_500t,0.9870395661416249,0.7192991756534748
OLD_BALM,scaffold,XGB,1.0309604974060975,0.6870084792320639
OLD_BALM,scaffold,LGBM,1.0253413239473386,0.692676015441274
OLD_BALM,scaffold,MLP,1.1855277172806422,0.5801558334544744
NEW_KdOnly,random,RF_500t,0.8478380559719814,0.8646612716358922
NEW_KdOnly,random,XGB,0.954243213077666,0.8273373971841225
NEW_KdOnly,random,LGBM,0.9585547769359474,0.8255623052572576
NEW_KdOnly,random,MLP,1.0263386047484444,0.7937903935035011
NEW_KdOnly,scaffold,RF_500t,1.0222466662047645,0.7947546203147307
NEW_KdOnly,scaffold,XGB,1.0578504742276977,0.7800322398120164
NEW_KdOnly,scaffold,LGBM,1.0706981756842393,0.7735119524164217
NEW_KdOnly,scaffold,MLP,1.1933614665341519,0.7102803694586439
