dataset,split,model,rmse,pearson
OLD_BALM,random,RF_500t,0.8368836484000224,0.820745067802001
OLD_BALM,random,XGB,0.8994291300575955,0.7908984977037132
OLD_BALM,random,LGBM,0.8899451268603664,0.7943863270474991
OLD_BALM,random,MLP,1.0507679270618795,0.701502940812841
OLD_BALM,scaffold,RF_500t,0.9895952550726967,0.7013705288109613
OLD_BALM,scaffold,XGB,1.039648767816164,0.6629861803483932
OLD_BALM,scaffold,LGBM,1.0341193085985398,0.6663874882465393
OLD_BALM,scaffold,MLP,1.2570268429018392,0.5115890313223581
NEW_KdOnly,random,RF_500t,0.8478380559719814,0.8646612716358921
NEW_KdOnly,random,XGB,0.954243213077666,0.8273373971841225
NEW_KdOnly,random,LGBM,0.9585547769359474,0.8255623052572576
NEW_KdOnly,random,MLP,1.0246011330512752,0.79300629609883
NEW_KdOnly,scaffold,RF_500t,1.0222466662047645,0.7947546203147304
NEW_KdOnly,scaffold,XGB,1.0578504742276977,0.7800322398120164
NEW_KdOnly,scaffold,LGBM,1.0706981756842393,0.7735119524164217
NEW_KdOnly,scaffold,MLP,1.1654629972557455,0.7239780744946378
