feature,importance
ECFP4_1045,7
ECFP4_1982,7
ECFP4_1049,7
ECFP4_806,7
ECFP4_2042,7
ECFP4_1564,7
ECFP4_794,7
ECFP4_1078,7
ECFP4_1080,7
ECFP4_1084,7
ECFP4_216,7
ECFP4_666,7
ECFP4_849,7
ECFP4_667,7
ECFP4_1274,7
ECFP4_127,7
ECFP4_1751,7
ECFP4_729,7
ECFP4_523,7
ECFP4_444,7
ECFP4_1282,7
ECFP4_936,7
ECFP4_934,7
ECFP4_713,7
ECFP4_518,7
ECFP4_1330,7
ECFP4_516,7
ECFP4_255,7
ECFP4_274,7
ECFP4_1768,7
ECFP4_272,7
ECFP4_916,7
ECFP4_895,7
ECFP4_1353,7
ECFP4_2004,7
ECFP4_1356,7
ECFP4_102,7
ECFP4_950,7
ECFP4_281,7
ECFP4_227,7
ECFP4_1234,7
ECFP4_1245,7
ECFP4_1838,7
ECFP4_964,7
ECFP4_970,7
ECFP4_865,7
ECFP4_1445,7
ECFP4_731,7
ECFP4_1455,7
ECFP4_233,7
ECFP4_33,7
ECFP4_1194,7
ECFP4_980,6
ECFP4_598,6
ECFP4_796,6
ECFP4_430,6
ECFP4_981,6
ECFP4_1025,6
ECFP4_612,6
ECFP4_509,6
ECFP4_961,6
ECFP4_573,6
ECFP4_473,6
ECFP4_956,6
ECFP4_446,6
ECFP4_791,6
ECFP4_757,6
ECFP4_820,6
ECFP4_833,6
ECFP4_947,6
ECFP4_1001,6
ECFP4_583,6
ECFP4_984,6
ECFP4_387,6
ECFP4_498,6
ECFP4_427,6
ECFP4_638,6
ECFP4_502,6
ECFP4_705,6
ECFP4_860,6
ECFP4_1331,6
ECFP4_1031,6
ECFP4_1381,6
ECFP4_1653,6
ECFP4_1642,6
ECFP4_1624,6
ECFP4_162,6
ECFP4_164,6
ECFP4_382,6
ECFP4_1596,6
ECFP4_1589,6
ECFP4_1581,6
ECFP4_195,6
ECFP4_1521,6
ECFP4_214,6
ECFP4_1487,6
ECFP4_1476,6
ECFP4_1447,6
ECFP4_1440,6
ECFP4_241,6
ECFP4_1409,6
ECFP4_1408,6
ECFP4_1403,6
ECFP4_1401,6
ECFP4_1655,6
ECFP4_1670,6
ECFP4_148,6
ECFP4_1857,6
ECFP4_29,6
ECFP4_35,6
ECFP4_2002,6
ECFP4_43,6
ECFP4_45,6
ECFP4_1959,6
ECFP4_1941,6
ECFP4_1934,6
ECFP4_1875,6
ECFP4_1810,6
ECFP4_145,6
ECFP4_98,6
ECFP4_1803,6
ECFP4_1776,6
ECFP4_1765,6
ECFP4_116,6
ECFP4_117,6
ECFP4_118,6
ECFP4_122,6
ECFP4_1699,6
ECFP4_251,6
ECFP4_170,6
ECFP4_556,6
ECFP4_287,6
ECFP4_1164,6
ECFP4_322,6
ECFP4_1149,6
ECFP4_1174,6
ECFP4_1187,6
ECFP4_1190,6
ECFP4_1197,6
ECFP4_1205,6
ECFP4_1128,6
ECFP4_1230,6
ECFP4_1166,6
ECFP4_1279,6
ECFP4_323,6
ECFP4_269,6
ECFP4_1370,6
ECFP4_1366,6
ECFP4_267,6
ECFP4_265,6
ECFP4_381,6
ECFP4_375,6
ECFP4_1046,5
ECFP4_1788,5
ECFP4_995,5
ECFP4_1135,5
ECFP4_1147,5
ECFP4_676,5
ECFP4_1802,5
ECFP4_685,5
ECFP4_1816,5
ECFP4_690,5
ECFP4_1782,5
ECFP4_1781,5
ECFP4_564,5
ECFP4_1780,5
ECFP4_2039,5
ECFP4_1775,5
ECFP4_701,5
ECFP4_1764,5
ECFP4_2030,5
ECFP4_1823,5
ECFP4_1990,5
ECFP4_1950,5
ECFP4_1989,5
ECFP4_1051,5
ECFP4_621,5
ECFP4_1070,5
ECFP4_1969,5
ECFP4_640,5
ECFP4_643,5
ECFP4_1110,5
ECFP4_1954,5
ECFP4_652,5
ECFP4_1851,5
ECFP4_1943,5
ECFP4_1115,5
ECFP4_1120,5
ECFP4_1923,5
ECFP4_1121,5
ECFP4_580,5
ECFP4_1863,5
ECFP4_2023,5
ECFP4_1854,5
ECFP4_665,5
ECFP4_892,5
ECFP4_715,5
ECFP4_1586,5
ECFP4_941,5
ECFP4_1572,5
ECFP4_1563,5
ECFP4_1554,5
ECFP4_814,5
ECFP4_1287,5
ECFP4_826,5
ECFP4_829,5
ECFP4_1531,5
ECFP4_1289,5
ECFP4_836,5
ECFP4_1497,5
ECFP4_1492,5
ECFP4_1303,5
ECFP4_1307,5
ECFP4_922,5
ECFP4_866,5
ECFP4_1441,5
ECFP4_1347,5
ECFP4_877,5
ECFP4_1364,5
ECFP4_1582,5
ECFP4_1271,5
ECFP4_716,5
ECFP4_1256,5
ECFP4_1762,5
ECFP4_722,5
ECFP4_1761,5
ECFP4_1376,5
ECFP4_1757,5
ECFP4_1748,5
ECFP4_1745,5
ECFP4_1737,5
ECFP4_1717,5
ECFP4_1186,5
ECFP4_1693,5
ECFP4_1692,5
ECFP4_972,5
ECFP4_755,5
ECFP4_1213,5
ECFP4_775,5
ECFP4_1636,5
ECFP4_786,5
ECFP4_960,5
ECFP4_1214,5
ECFP4_1611,5
ECFP4_725,5
ECFP4_1034,5
ECFP4_361,5
ECFP4_426,5
ECFP4_202,5
ECFP4_205,5
ECFP4_464,5
ECFP4_394,5
ECFP4_542,5
ECFP4_541,5
ECFP4_350,5
ECFP4_330,5
ECFP4_103,5
ECFP4_493,5
ECFP4_106,5
ECFP4_41,5
ECFP4_313,5
ECFP4_311,5
ECFP4_500,5
ECFP4_249,5
ECFP4_531,5
ECFP4_289,5
ECFP4_138,5
ECFP4_201,5
ECFP4_357,5
ECFP4_276,5
ECFP4_9,5
ECFP4_443,5
ECFP4_456,5
ECFP4_190,5
ECFP4_187,5
ECFP4_455,5
ECFP4_196,5
ECFP4_173,5
ECFP4_167,5
ECFP4_1162,4
ECFP4_489,4
ECFP4_490,4
ECFP4_1790,4
ECFP4_888,4
ECFP4_1988,4
ECFP4_1929,4
ECFP4_1184,4
ECFP4_1192,4
ECFP4_1991,4
ECFP4_1154,4
ECFP4_840,4
ECFP4_335,4
ECFP4_1786,4
ECFP4_1759,4
ECFP4_1141,4
ECFP4_304,4
ECFP4_673,4
ECFP4_1311,4
ECFP4_280,4
ECFP4_2011,4
ECFP4_680,4
ECFP4_1295,4
ECFP4_1288,4
ECFP4_864,4
ECFP4_1935,4
ECFP4_1283,4
ECFP4_1728,4
ECFP4_1731,4
ECFP4_1257,4
ECFP4_872,4
ECFP4_854,4
ECFP4_1240,4
ECFP4_703,4
ECFP4_741,4
ECFP4_1910,4
ECFP4_99,4
ECFP4_1021,4
ECFP4_1009,4
ECFP4_1966,4
ECFP4_985,4
ECFP4_1964,4
ECFP4_982,4
ECFP4_971,4
ECFP4_915,4
ECFP4_1891,4
ECFP4_459,4
ECFP4_811,4
ECFP4_1956,4
ECFP4_424,4
ECFP4_932,4
ECFP4_428,4
ECFP4_1905,4
ECFP4_51,4
ECFP4_1906,4
ECFP4_1014,4
ECFP4_835,4
ECFP4_821,4
ECFP4_383,4
ECFP4_1978,4
ECFP4_1118,4
ECFP4_92,4
ECFP4_1974,4
ECFP4_1826,4
ECFP4_1093,4
ECFP4_1828,4
ECFP4_1832,4
ECFP4_1081,4
ECFP4_140,4
ECFP4_1075,4
ECFP4_1972,4
ECFP4_1059,4
ECFP4_369,4
ECFP4_372,4
ECFP4_1848,4
ECFP4_1852,4
ECFP4_747,4
ECFP4_505,4
ECFP4_1648,4
ECFP4_548,4
ECFP4_1538,4
ECFP4_577,4
ECFP4_1623,4
ECFP4_1524,4
ECFP4_642,4
ECFP4_207,4
ECFP4_1428,4
ECFP4_591,4
ECFP4_1509,4
ECFP4_1664,4
ECFP4_155,4
ECFP4_1660,4
ECFP4_626,4
ECFP4_1449,4
ECFP4_1650,4
ECFP4_212,4
ECFP4_539,4
ECFP4_2034,4
ECFP4_1488,4
ECFP4_1475,4
ECFP4_604,4
ECFP4_158,4
ECFP4_275,4
ECFP4_1463,4
ECFP4_606,4
ECFP4_1647,4
ECFP4_609,4
ECFP4_1466,4
ECFP4_613,4
ECFP4_1542,4
ECFP4_242,4
ECFP4_610,4
ECFP4_1686,4
ECFP4_1698,4
ECFP4_146,4
ECFP4_143,4
ECFP4_193,4
ECFP4_1561,4
ECFP4_1565,4
ECFP4_253,4
ECFP4_533,4
ECFP4_1601,4
ECFP4_558,4
ECFP4_263,4
ECFP4_7,4
ECFP4_152,4
ECFP4_889,3
ECFP4_213,3
ECFP4_1015,3
ECFP4_1494,3
ECFP4_396,3
ECFP4_1552,3
ECFP4_380,3
ECFP4_218,3
ECFP4_1481,3
ECFP4_77,3
ECFP4_1634,3
ECFP4_1053,3
ECFP4_1071,3
ECFP4_442,3
ECFP4_1073,3
ECFP4_1598,3
ECFP4_1472,3
ECFP4_85,3
ECFP4_1471,3
ECFP4_1597,3
ECFP4_863,3
ECFP4_1937,3
ECFP4_894,3
ECFP4_165,3
ECFP4_401,3
ECFP4_1507,3
ECFP4_1915,3
ECFP4_1547,3
ECFP4_1537,3
ECFP4_1532,3
ECFP4_1622,3
ECFP4_1921,3
ECFP4_937,3
ECFP4_1897,3
ECFP4_1896,3
ECFP4_902,3
ECFP4_949,3
ECFP4_1626,3
ECFP4_953,3
ECFP4_954,3
ECFP4_1629,3
ECFP4_1886,3
ECFP4_1831,3
ECFP4_206,3
ECFP4_1880,3
ECFP4_412,3
ECFP4_978,3
ECFP4_405,3
ECFP4_1513,3
ECFP4_983,3
ECFP4_901,3
ECFP4_57,3
ECFP4_989,3
ECFP4_1614,3
ECFP4_1618,3
ECFP4_992,3
ECFP4_142,3
ECFP4_1469,3
ECFP4_1467,3
ECFP4_1739,3
ECFP4_295,3
ECFP4_252,3
ECFP4_296,3
ECFP4_1253,3
ECFP4_130,3
ECFP4_1241,3
ECFP4_1391,3
ECFP4_1394,3
ECFP4_1681,3
ECFP4_1238,3
ECFP4_1233,3
ECFP4_1232,3
ECFP4_1399,3
ECFP4_1226,3
ECFP4_305,3
ECFP4_1222,3
ECFP4_133,3
ECFP4_1734,3
ECFP4_1275,3
ECFP4_1344,3
ECFP4_1339,3
ECFP4_277,3
ECFP4_1329,3
ECFP4_1323,3
ECFP4_1322,3
