experiment_id,model_family,ligand_repr,protein_repr,test_rmse,test_pearson_r,test_spearman_r
mlp_chemberta_77M_esmc_300M,mlp,chemberta_77M,esmc_300M,1.1172,0.6864,0.6139
transformer_chemberta_100M_prot_electra_256,transformer,chemberta_100M,prot_electra_256,1.1194,0.6791,0.6019
mlp_wide_maccs_dipeptide,mlp,maccs_167,dipeptide_400,1.1213,0.6999,0.6355
mlp_chemberta_5M_esm2_650M,mlp,chemberta_5M,esm2_650M,1.1216,0.6797,0.6176
mlp_chemberta_600_kmer3_8000,mlp,chemberta_600,kmer3_8000,1.1227,0.684,0.6019
mlp_chemberta_5M_esm2_150M,mlp,chemberta_5M,esm2_150M,1.1239,0.6865,0.6284
bica_chemberta_esm2_8M_dsm,bica,chemberta_600,esm2_8M_320,1.1244,0.685,0.6142
mlp_chemberta_dipeptide,mlp,chemberta_600,dipeptide_400,1.1246,0.69,0.6182
distmat_cnn_distmat_100_esm2_150M,distmat_cnn,distmat_100,esm2_150M,1.1265,0.6768,0.6053
mlp_chemberta_5M_prot_electra_256,mlp,chemberta_5M,prot_electra_256,1.1266,0.6805,0.6122
mlp_ecfp4_esm2_35M,mlp,ecfp4_1024,esm2_35M_480,1.1281,0.6958,0.6291
xgb_smiles_char_kmer3_8000,tree,smiles_char,kmer3_8000,1.1293,0.6656,0.5912
transformer_chemberta_5M_esm2_150M,transformer,chemberta_5M,esm2_150M,1.1296,0.6901,0.6273
concat_baseline,bica_v2,mol_atom100,esm2_35M_perresidue,1.1302,0.6865,0.6186
xgb_smiles_char_prot_electra_256,tree,smiles_char,prot_electra_256,1.1309,0.6638,0.5893
bica_v2_chemberta_tokens,bica_v2,chemberta_tokens_ChemBERTa-zinc-base-v1,esm2_35M_perresidue,1.1318,0.6811,0.6143
xgb_smiles_char_protein_char,tree,smiles_char,protein_char,1.1329,0.6642,0.5914
mlp_chemberta_600_esm2_35M_480,mlp,chemberta_600,esm2_35M_480,1.1334,0.6779,0.609
mlp_ecfp6_1024_kmer3_8000,mlp,ecfp6_1024,kmer3_8000,1.1335,0.6844,0.5984
bica_v2_chemberta77M_tokens,bica_v2,chemberta_tokens_ChemBERTa-77M-MTR,esm2_35M_perresidue,1.1348,0.6765,0.612
mlp_chemberta_5M_esmc_300M,mlp,chemberta_5M,esmc_300M,1.1378,0.6829,0.6187
mlp_chemberta_77M_prot_electra_256,mlp,chemberta_77M,prot_electra_256,1.1405,0.6715,0.6133
distmat_cnn_distmat_100_esmc_300M,distmat_cnn,distmat_100,esmc_300M,1.1423,0.6731,0.6119
mlp_chemberta_esm2_8M_ranked,mlp,chemberta_600,esm2_8M_320,1.1432,0.6647,0.598
bica_v2_cb77M_mtr_esm2_150M,bica_v2,chemberta_tokens_ChemBERTa-77M-MTR,esm2_150M_perresidue,1.1433,0.6757,0.6144
mlp_chemberta_100M_esm2_150M,mlp,chemberta_100M,esm2_150M,1.144,0.6726,0.5986
mlp_chemberta_100M_prot_electra_256,mlp,chemberta_100M,prot_electra_256,1.1442,0.6746,0.6042
distmat_cnn_kmer3_8000,distmat_cnn,distmat_100,kmer3_8000,1.1448,0.6737,0.6037
lstm_smiles_bpe_1000_protein_bpe_1000,lstm,smiles_bpe_1000,protein_bpe_1000,1.1456,0.6595,0.5812
lstm_smiles_atom_protein_bpe_1000,lstm,smiles_atom,protein_bpe_1000,1.1456,0.6566,0.5679
bica_chemberta_600_esm2_8M_320,bica,chemberta_600,esm2_8M_320,1.1461,0.6728,0.6035
mlp_chemberta_prot_electra,mlp,chemberta_600,prot_electra_256,1.1466,0.6813,0.6188
bica_chemberta_5M_esm2_8M_320,bica,chemberta_5M,esm2_8M_320,1.1468,0.6748,0.6047
transformer_chemberta_100M_esm2_35M_480,transformer,chemberta_100M,esm2_35M_480,1.154,0.6777,0.6023
distmat_cnn_distmat_100_esm2_650M,distmat_cnn,distmat_100,esm2_650M,1.1548,0.6541,0.581
transformer_chemberta_5M_esmc_300M,transformer,chemberta_5M,esmc_300M,1.155,0.6893,0.6143
bica_chemberta_77M_esm2_650M,bica,chemberta_77M,esm2_650M,1.156,0.6615,0.5765
transformer_chemberta_77M_esm2_150M,transformer,chemberta_77M,esm2_150M,1.1568,0.665,0.591
mlp_chemberta_600_esm2_150M,mlp,chemberta_600,esm2_150M,1.158,0.6722,0.6136
mamba_smiles_bpe_1000_protein_bpe_1000,mamba,smiles_bpe_1000,protein_bpe_1000,1.1581,0.6558,0.5892
transformer_chemberta_esm2_8M,transformer,chemberta_600,esm2_8M_320,1.1583,0.6753,0.5982
transformer_chemberta_100M_esm2_8M_320,transformer,chemberta_100M,esm2_8M_320,1.1589,0.6764,0.5968
distmat_cnn_distmat_100_prot_electra_256,distmat_cnn,distmat_100,prot_electra_256,1.159,0.6645,0.589
mlp_chemberta_77M_esm2_150M,mlp,chemberta_77M,esm2_150M,1.1592,0.6681,0.6029
bica_v2_p2l,bica_v2,mol_atom100,esm2_35M_perresidue,1.1597,0.6755,0.6124
distmat_cnn_prot_electra_256,distmat_cnn,distmat_100,prot_electra_256,1.1604,0.6626,0.5959
transformer_chemberta_77M_esm2_650M,transformer,chemberta_77M,esm2_650M,1.1625,0.6671,0.6114
lstm_smiles_atom_protein_char,lstm,smiles_atom,protein_char,1.1654,0.6525,0.566
bica_chemberta_600_kmer3_8000,bica,chemberta_600,kmer3_8000,1.1661,0.6511,0.5804
mlp_chemberta_100M_esm2_35M_480,mlp,chemberta_100M,esm2_35M_480,1.1665,0.6562,0.57
bica_chemberta_5M_esm2_150M,bica,chemberta_5M,esm2_150M,1.1673,0.6484,0.5751
mlp_chemberta_esm2_35M,mlp,chemberta_600,esm2_35M_480,1.1692,0.6648,0.5966
mamba_smiles_bpe_1000_protein_char,mamba,smiles_bpe_1000,protein_char,1.1722,0.6367,0.5649
mamba_smiles_char_protein_char,mamba,smiles_char,protein_char,1.1755,0.6469,0.5597
bica_chemberta_esm2_8M,bica,chemberta_600,esm2_8M_320,1.1764,0.6551,0.5806
bica_chemberta_600_prot_electra_256,bica,chemberta_600,prot_electra_256,1.1775,0.6541,0.5877
mamba_smiles_bpe1000_protein_bpe1000,mamba,smiles_bpe_1000,protein_bpe_1000,1.1778,0.6457,0.5588
gp_ecfp4_rq,gp,ecfp4_1024,none,1.1789,0.6276,0.5322
bica_chemberta_100M_esm2_650M,bica,chemberta_100M,esm2_650M,1.1791,0.6446,0.565
transformer_chemberta_77M_esmc_300M,transformer,chemberta_77M,esmc_300M,1.1791,0.631,0.5552
bica_chemberta_esm2_8M_ranked,bica,chemberta_600,esm2_8M_320,1.1798,0.6436,0.5643
transformer_chemberta_100M_esmc_300M,transformer,chemberta_100M,esmc_300M,1.1805,0.6645,0.6005
mamba_smiles_atom_protein_char,mamba,smiles_atom,protein_char,1.1808,0.6438,0.5847
bica_v2_full,bica_v2,mol_atom100,esm2_35M_perresidue,1.1809,0.6351,0.5667
mlp_chemberta_100M_esm2_8M_320,mlp,chemberta_100M,esm2_8M_320,1.181,0.6333,0.5659
bica_chemberta_5M_prot_electra_256,bica,chemberta_5M,prot_electra_256,1.181,0.6407,0.573
bica_chemberta_600_esm2_35M_480,bica,chemberta_600,esm2_35M_480,1.1839,0.6411,0.5738
bica_chemberta_600_esm2_650M,bica,chemberta_600,esm2_650M,1.1839,0.6442,0.5797
transformer_chemberta_77M_prot_electra_256,transformer,chemberta_77M,prot_electra_256,1.1841,0.6383,0.56
gp_ecfp4_tanimoto,gp,ecfp4_1024,none,1.1849,0.6276,0.5276
bica_chemberta_prot_electra,bica,chemberta_600,prot_electra_256,1.1858,0.631,0.5756
bica_chemberta_77M_esmc_300M,bica,chemberta_77M,esmc_300M,1.1859,0.6427,0.5623
transformer_chemberta_600_esm2_650M,transformer,chemberta_600,esm2_650M,1.1864,0.661,0.5898
bica_chemberta_600_esmc_300M,bica,chemberta_600,esmc_300M,1.1867,0.6518,0.5801
bica_chemberta_600_esm2_150M,bica,chemberta_600,esm2_150M,1.1871,0.6273,0.5391
distmat_cnn_distmat_100_esm2_8M_320,distmat_cnn,distmat_100,esm2_8M_320,1.1873,0.6496,0.5787
bica_chemberta_100M_esm2_150M,bica,chemberta_100M,esm2_150M,1.1874,0.6369,0.5529
transformer_chemberta_600_kmer3_8000,transformer,chemberta_600,kmer3_8000,1.1883,0.6555,0.5771
transformer_chemberta_5M_esm2_650M,transformer,chemberta_5M,esm2_650M,1.1906,0.6164,0.5553
lstm_smiles_char_protein_bpe_1000,lstm,smiles_char,protein_bpe_1000,1.1907,0.631,0.532
transformer_chemberta_100M_esm2_650M,transformer,chemberta_100M,esm2_650M,1.1909,0.6412,0.5659
bica_v2_meanpool,bica_v2,mol_atom100,esm2_35M_perresidue,1.191,0.6522,0.5916
transformer_chemberta_600_esm2_35M_480,transformer,chemberta_600,esm2_35M_480,1.1912,0.6455,0.5584
transformer_chemberta_esm2_35M,transformer,chemberta_600,esm2_35M_480,1.1914,0.6202,0.5519
mlp_deep_ecfp6_kmer3,mlp,ecfp6_1024,kmer3_8000,1.1926,0.6594,0.5805
mlp_chemberta_esm2_8M,mlp,chemberta_600,esm2_8M_320,1.1931,0.6472,0.5923
bica_chemberta_77M_esm2_8M_320,bica,chemberta_77M,esm2_8M_320,1.1932,0.6529,0.5907
gat_mol_graph_esm2_650M,gat,mol_graph,esm2_650M,1.1939,0.6434,0.584
lstm_smiles_bpe512_protein_bpe512,lstm,smiles_bpe_512,protein_bpe_512,1.1947,0.646,0.573
