experiment_id,model_family,ligand_repr,protein_repr,test_rmse,test_pearson_r,test_spearman_r
ridge_chemberta_100M_esm2_150M,linear,chemberta_100M,esm2_150M,1.4138,0.5296,0.4448
ridge_chemberta_100M_esm2_35M_480,linear,chemberta_100M,esm2_35M_480,1.4187,0.5187,0.4351
ridge_chemberta_600_esm2_650M,linear,chemberta_600,esm2_650M,1.4206,0.5556,0.5005
ridge_chemberta_100M_esm2_8M_320,linear,chemberta_100M,esm2_8M_320,1.4217,0.5028,0.4222
ridge_ecfp4_dipeptide,linear,ecfp4_1024,dipeptide_400,1.4227,0.5243,0.4634
mlp_smiles_char_protein_char,mlp,smiles_char,protein_char,1.4272,0.4681,0.3988
ridge_chemberta_600_esm2_8M_320,linear,chemberta_600,esm2_8M_320,1.4336,0.5202,0.4704
gp_ecfp4_esm2_8M,gp,ecfp4_1024,esm2_8M_320,1.4388,0.4685,0.4411
ridge_chemberta_100M_prot_electra_256,linear,chemberta_100M,prot_electra_256,1.4448,0.5152,0.4389
ridge_chemberta_600_prot_electra_256,linear,chemberta_600,prot_electra_256,1.4497,0.5308,0.4838
ridge_chemberta_100M_esmc_300M,linear,chemberta_100M,esmc_300M,1.4509,0.5079,0.4309
ridge_chemberta_600_protein_char,linear,chemberta_600,protein_char,1.4536,0.4737,0.4304
ridge_ecfp6_1024_prot_electra_256,linear,ecfp6_1024,prot_electra_256,1.4669,0.4999,0.4388
ridge_chemberta_100M_esm2_650M,linear,chemberta_100M,esm2_650M,1.4699,0.5181,0.4434
ridge_ecfp6_1024_kmer3_8000,linear,ecfp6_1024,kmer3_8000,1.4886,0.4929,0.4311
gp_ecfp4_esm2_35M,gp,ecfp4_1024,esm2_35M_480,1.4919,0.439,0.4136
transformer_seq_smiles_bpe1000_protein_bpe1000,transformer_seq,smiles_bpe_1000,protein_bpe_1000,1.5254,0.5091,0.5009
ridge_ecfp4_aac,linear,ecfp4_1024,aac_20,1.5498,0.4339,0.3907
ridge_ecfp6_1024_protein_char,linear,ecfp6_1024,protein_char,1.5608,0.4099,0.3671
ridge_smiles_char_kmer3_8000,linear,smiles_char,kmer3_8000,2.167,0.3431,0.3562
ridge_smiles_char_prot_electra_256,linear,smiles_char,prot_electra_256,2.1715,0.3459,0.3689
ridge_smiles_char_protein_char,linear,smiles_char,protein_char,2.4017,0.2396,0.2673
mlp_chemberta_esm2_8M_dsm,mlp,chemberta_600,esm2_8M_320,6.8504,0.135,0.1046
