timestamp,experiment_id,model_name,model_family,ligand_repr,protein_repr,fusion_strategy,n_params,epochs_trained,batch_size,learning_rate,split_type,n_train,n_val,n_test,val_rmse,val_pearson_r,val_spearman_r,test_rmse,test_pearson_r,test_spearman_r,train_time_sec,notes
2026-04-02 08:30:43 UTC,mlp_chemberta_esm2_35M,mlp_chemberta_esm2_35M,mlp,chemberta_600,esm2_35M_480,concat,1980354.0,47.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1601,0.6101,0.5376,1.1692,0.6648,0.5966,26.4,
2026-04-02 08:30:55 UTC,xgb_chemberta_esm2_8M,xgb_chemberta_esm2_8M,tree,chemberta_600,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1009,0.6359,0.5492,1.067,0.7101,0.6299,8.1,
2026-04-02 08:31:03 UTC,xgb_ecfp4_esm2_8M,xgb_ecfp4_esm2_8M,tree,ecfp4_1024,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0382,0.6854,0.5992,1.0483,0.7207,0.6309,4.3,Ablation: ECFP4 + ESM-2 (protein upgrade only)
2026-04-02 08:31:12 UTC,xgb_chemberta_aac,xgb_chemberta_aac,tree,chemberta_600,aac_20,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1617,0.5817,0.4893,1.0893,0.695,0.6221,5.7,Ablation: ChemBERTa + AAC (ligand upgrade only)
2026-04-02 09:08:01 UTC,mlp_ecfp4_prot_electra,mlp_ecfp4_prot_electra,mlp,ecfp4_1024,prot_electra_256,concat,1346434.0,55.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0374,0.6928,0.6263,1.1129,0.696,0.6183,49.2,MLP + ECFP4 + ProtElectra-BFD 256-dim
2026-04-02 09:09:16 UTC,mlp_chemberta_prot_electra,mlp_chemberta_prot_electra,mlp,chemberta_600,prot_electra_256,concat,2799554.0,58.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0991,0.6522,0.5953,1.1466,0.6813,0.6188,64.8,MLP + ChemBERTa + ProtElectra-BFD 256-dim
2026-04-02 09:09:38 UTC,xgb_chemberta_prot_electra,xgb_chemberta_prot_electra,tree,chemberta_600,prot_electra_256,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.089,0.6464,0.5648,1.058,0.7142,0.638,14.6,XGBoost + ChemBERTa + ProtElectra-BFD 256-dim
2026-04-02 09:10:29 UTC,transformer_ecfp4_aac,transformer_ecfp4_aac,transformer,ecfp4_1024,aac_20,concat,1631745.0,37.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.2003,0.5534,0.5125,1.2095,0.6062,0.55,46.2,
2026-04-02 09:11:21 UTC,transformer_chemberta_esm2_8M,transformer_chemberta_esm2_8M,transformer,chemberta_600,esm2_8M_320,cross_attention,2402945.0,47.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1979,0.5912,0.5208,1.1583,0.6753,0.5982,46.9,
2026-04-02 09:11:52 UTC,transformer_chemberta_esm2_35M,transformer_chemberta_esm2_35M,transformer,chemberta_600,esm2_35M_480,cross_attention,2443905.0,27.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.2038,0.554,0.4848,1.1914,0.6202,0.5519,27.4,
