model,model_family,split_type,seed,n_train,n_val,n_test,val_rmse,val_mae,val_pearson,test_rmse,test_mae,test_pearson,test_spearman,n_params,train_time_s,epochs_trained,device,timestamp
RF_ECFP4-only,tree,cold_target,456,37028,5289,10581,,,,1.36,1.038,0.525,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/30pct,42,37028,5289,10581,,,,1.358,1.037,0.526,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/30pct,123,37028,5289,10581,,,,1.378,1.053,0.515,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/30pct,456,37028,5289,10581,,,,1.358,1.037,0.526,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/40pct,42,37028,5289,10581,,,,1.331,1.013,0.531,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/40pct,123,37028,5289,10581,,,,1.35,1.028,0.521,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/40pct,456,37028,5289,10581,,,,1.331,1.013,0.531,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,random,42,37028,5289,10581,,,,1.092,0.832,0.769,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,random,123,37028,5289,10581,,,,1.08,0.822,0.775,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,random,456,37028,5289,10581,,,,1.071,0.814,0.789,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,scaffold,42,37028,5289,10581,,,,1.369,1.08,0.665,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,scaffold,123,37028,5289,10581,,,,1.405,1.111,0.653,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,scaffold,456,37028,5289,10581,,,,1.368,1.079,0.675,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,cold_target,42,37028,5289,10581,,,,1.752,1.42,0.404,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,cold_target,123,37028,5289,10581,,,,1.813,1.479,0.391,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,cold_target,456,37028,5289,10581,,,,1.755,1.423,0.405,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,seq_clustered/30pct,42,37028,5289,10581,,,,1.752,1.42,0.404,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,seq_clustered/30pct,123,37028,5289,10581,,,,1.813,1.479,0.391,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,seq_clustered/30pct,456,37028,5289,10581,,,,1.755,1.423,0.405,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,seq_clustered/40pct,42,37028,5289,10581,,,,1.752,1.42,0.404,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,seq_clustered/40pct,123,37028,5289,10581,,,,1.813,1.479,0.391,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,seq_clustered/40pct,456,37028,5289,10581,,,,1.755,1.423,0.405,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,random,42,37028,5289,10581,,,,1.245,0.95,0.672,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,random,123,37028,5289,10581,,,,1.247,0.952,0.67,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,random,456,37028,5289,10581,,,,1.229,0.937,0.683,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,scaffold,42,37028,5289,10581,,,,1.342,1.054,0.615,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,scaffold,123,37028,5289,10581,,,,1.34,1.053,0.617,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,scaffold,456,37028,5289,10581,,,,1.324,1.04,0.627,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,cold_target,42,37028,5289,10581,,,,1.504,1.192,0.423,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,cold_target,123,37028,5289,10581,,,,1.55,1.233,0.415,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,cold_target,456,37028,5289,10581,,,,1.502,1.19,0.424,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,seq_clustered/30pct,42,37028,5289,10581,,,,1.504,1.192,0.423,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,seq_clustered/30pct,123,37028,5289,10581,,,,1.55,1.233,0.415,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,seq_clustered/30pct,456,37028,5289,10581,,,,1.502,1.19,0.424,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,seq_clustered/40pct,42,37028,5289,10581,,,,1.47,1.159,0.429,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,seq_clustered/40pct,123,37028,5289,10581,,,,1.517,1.2,0.42,,,,,cuda,2026-07-23T12:00:00
Ridge_ECFP4+AAC,linear,seq_clustered/40pct,456,37028,5289,10581,,,,1.469,1.157,0.429,,,,,cuda,2026-07-23T12:00:00
